發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,8,9,21,42,2,07信義區,信義區基隆路1段與忠孝東路4段口口,0,1,3,H02,1,21,3,8,50,14,9
106,8,11,12,48,2,07信義區,信義區中坡北路與市民大道6段口口,0,1,1,A05,1,57,3,8,50,4,1
106,8,11,12,48,2,07信義區,信義區中坡北路與市民大道6段口口,0,1,2,C03,1,50,2,8,50,4,1
106,7,12,6,18,2,07信義區,信義區和平東路3段451號臨光捷運站前,0,1,1,A02,1,41,3,8,50,14,9
106,7,12,6,18,2,07信義區,信義區和平東路3段451號臨光捷運站前,0,1,2,C03,1,54,2,8,50,14,9
106,7,12,11,40,2,07信義區,信義區吳興街184號,0,1,1,B03,1,58,3,8,50,14,9
106,7,12,11,40,2,07信義區,信義區吳興街184號,0,1,2,H01,2,73,2,8,50,14,9
106,7,12,22,35,2,07信義區,信義區基隆路汽機車混合地下道,0,2,1,C02,1,44,2,8,30,6,9
106,7,12,22,35,2,07信義區,信義區基隆路汽機車混合地下道,0,2,2,C03,1,24,2,8,30,6,9
106,7,17,20,0,2,07信義區,信義區基隆路1段102巷,0,2,1,B03,1,29,3,8,50,14,9
106,7,17,20,0,2,07信義區,信義區基隆路1段102巷,0,2,2,C03,1,30,2,8,50,14,9
106,7,17,20,0,2,07信義區,信義區基隆路1段102巷,0,2,3,H02,2,26,2,8,50,14,9
106,7,19,11,48,2,07信義區,信義區基隆路1段52號與基隆路1段口,0,1,1,C03,2,32,3,8,50,3,1
106,7,19,11,48,2,07信義區,信義區基隆路1段52號與基隆路1段口,0,1,2,C03,2,55,2,8,50,3,1
106,7,19,12,50,2,07信義區,信義區忠孝東路4段國館捷運4號出口,0,1,1,C03,2,25,2,8,50,14,9
106,7,19,12,50,2,07信義區,信義區忠孝東路4段國館捷運4號出口,0,1,2,B03,1,52,3,8,50,14,9
